name,lr,seed,test_acc,test_f1,val_f1,best_epoch
in_conv,1e-4,42,0.5880149812734082,0.5850764178350386,0.6461677474960208,13
in_stored,1e-4,1,0.6217228464419475,0.6171125682765801,0.7302399459146965,17
in_stored,1e-4,2,0.6292134831460674,0.6321412836876754,0.7148837620771803,7
in_stored,1e-4,42,0.599250936329588,0.5989241032719294,0.6572029552368536,13
mtl_equal,1e-4,42,0.5805243445692884,0.5760137308912684,0.6422392788776876,16
mtl_tawl,1e-4,1,0.6441947565543071,0.6432098765432098,0.7417069620169515,20
mtl_tawl,1e-4,2,0.6441947565543071,0.6401180561643436,0.7112569754846177,11
mtl_tawl,1e-4,42,0.5955056179775281,0.5933610736242315,0.6590509521358724,13
out_conv,1e-4,42,0.602996254681648,0.6000828610124515,0.6542148016977261,13
out_stored,1e-4,1,0.6329588014981273,0.6271180557625571,0.7673673089761289,17
out_stored,1e-4,2,0.651685393258427,0.645858117992804,0.7048168386966202,11
out_stored,1e-4,42,0.651685393258427,0.6426426426426426,0.6336014862330651,6
polonly,1e-4,1,0.6329588014981273,0.6300643511806666,0.7560804534511195,17
polonly,1e-4,2,0.6741573033707865,0.6738351254480287,0.7139514410156612,4
polonly,1e-4,42,0.599250936329588,0.5970162164336922,0.6719326982484878,10
polonly,1e-5,42,0.5617977528089888,0.5582865481722666,0.6080873043424125,14
tawl_dropnc,1e-4,42,0.4868913857677903,0.4786444021700838,0.4897600095756778,8
